indicator_code,country_code,country_name,year,query_type,prompt_type,gt_value,gt_year,gt_latest_year,gt_latest_value,c_extracted_value,c_extracted_year,c_refused,c_response_full,c_tokens_input,c_tokens_output,c_latency_ms,c_n_tool_calls,c_tool_error,er_c,ya_c,va_c,eqa_c,hall_c,c_cost_usd
CME_MRM0,AUS,Australia,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Perfect! I found the exact value for the UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Australia in 2023.

The exact value is **2.31053033062887** deaths per 1,000 live births.

This data comes from the UNICEF Global Dataflow (UNICEF/GLOBAL_DATAFLOW/1.0) and represents the neonatal mortality rate for Australia in 2023, sourced from UN_IGME (United Nations Inter-agency Group for Child Mortality Estimation).",12172,626,12546,4,,1.0,1.0,0.0,0.0,0,0.045906
CME_MRM0,AUS,Australia,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Perfect! I found the exact value for the UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Australia in 2024.

The exact value is **2.27641484400296** deaths per 1,000 live births.

This data comes from the UNICEF Global Dataflow (UNICEF/GLOBAL_DATAFLOW/1.0) and represents the neonatal mortality rate for Australia in 2024, sourced from UN_IGME (United Nations Inter-agency Group for Child Mortality Estimation).",12181,630,13809,4,,1.0,1.0,0.0,0.0,0,0.045993
CME_MRM0,BGD,Bangladesh,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the exact value of indicator CME_MRM0 (Neonatal mortality rate) for Bangladesh (BGD) in 2024 is:

**17.9123757821351**

This value represents deaths per 1,000 live births and has a status of ""Normal value"" (A). The data comes from the UN Inter-agency Group for Child Mortality Estimation (UN_IGME) source.",14433,534,51787,3,,1.0,1.0,0.0,0.0,0,0.05130900000000001
CME_MRM0,BRA,Brazil,2024,POSITIVE,baseline_latest,,,,,7.12497324182585,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the latest available value of indicator CME_MRM0 (Neonatal mortality rate) for Brazil (BRA) is:

**7.12497324182585** deaths per 1,000 live births in **2024**

This represents the probability of dying during the first 28 days of life, expressed per 1,000 live births, for the total population (both sexes, all wealth quintiles) in Brazil.",14374,494,52967,3,,1.0,0.0,0.0,0.0,0,0.050532
CME_MRM0,CHN,China,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the exact value of indicator CME_MRM0 (Neonatal mortality rate) for China (CHN) in 2023 is:

**2.7822834194674**

This value represents deaths per 1,000 live births and has a status of ""Normal value"" (A).",11799,422,49967,2,,1.0,1.0,0.0,0.0,0,0.041727
CME_MRM0,CHN,China,2024,POSITIVE,baseline_latest,,,,,28.0,2024.0,False,"Based on the data retrieved from the UNICEF Global Dataflow, the latest available value of UNICEF indicator CME_MRM0 (Neonatal mortality rate) for China (CHN) is:

**Value: 2.59426436001617**
**Year: 2024**

This represents the neonatal mortality rate (probability of dying during the first 28 days of life, expressed per 1,000 live births) for China. The data source is UN_IGME (United Nations Inter-agency Group for Child Mortality Estimation).",13572,567,15250,4,,1.0,0.0,0.0,0.0,0,0.049221
CME_MRM0,COD,DR Congo,2023,POSITIVE,baseline_latest,,,,,23.6186279023827,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRM0 (Neonatal mortality rate) for DR Congo (COD) is:

**23.6186279023827** deaths per 1,000 live births in **2024**

This represents the probability of dying during the first 28 days of life, expressed per 1,000 live births, with a confidence interval of 17.27 to 32.40 deaths per 1,000 live births.",11761,421,52196,2,,1.0,0.0,0.0,0.0,0,0.041598
CME_MRM0,COD,DR Congo,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the exact value of indicator CME_MRM0 (Neonatal mortality rate) for DR Congo (COD) in 2024 is:

**23.6186279023827**

This value represents deaths per 1,000 live births and has an observation status of ""Normal value"" (A).",11811,422,55876,2,,1.0,1.0,0.0,0.0,0,0.041763
CME_MRM0,DEU,Germany,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the exact value of indicator CME_MRM0 (Neonatal mortality rate) for Germany (DEU) in 2024 is:

**2.29629054104967**

This value represents deaths per 1,000 live births and comes from the UN Inter-agency Group for Child Mortality Estimation (UN_IGME) data source.",11787,425,53383,2,,1.0,1.0,0.0,0.0,0,0.041736
CME_MRM0,FRA,France,2023,POSITIVE,baseline_latest,,,,,28.0,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the latest available value of UNICEF indicator CME_MRM0 (Neonatal mortality rate) for France is:

**Exact value: 2.83730354037707**
**Year: 2024**

This represents the neonatal mortality rate (probability of dying during the first 28 days of life) expressed per 1,000 live births in France for 2024.",11761,424,54084,2,,1.0,0.0,0.0,0.0,0,0.041643
CME_MRM0,JPN,Japan,2023,POSITIVE,baseline_latest,,,,,0.867752023543302,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Japan is:

**Value: 0.867752023543302 deaths per 1,000 live births**
**Year: 2024**

This represents the probability of dying during the first 28 days of life, expressed per 1,000 live births, for Japan in 2024.",12876,369,54212,2,,1.0,0.0,0.0,0.0,0,0.044163
CME_MRM0,JPN,Japan,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the data retrieved from the UNICEF Global Dataflow, the exact value of indicator CME_MRM0 (Neonatal mortality rate) for Japan (JPN) in 2024 is:

**0.867752023543302**

This represents the neonatal mortality rate expressed as deaths per 1,000 live births for Japan in 2024.",12132,571,11478,4,,1.0,1.0,0.0,0.0,0,0.044961
CME_MRM0,MLI,Mali,2023,POSITIVE,baseline_latest,,,,,27.9933206308862,2024.0,False,"Perfect! I found the latest available value for the UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Mali.

**The latest available value of UNICEF indicator CME_MRM0 for Mali (MLI) is 27.9933206308862 deaths per 1,000 live births for the year 2024.**

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN_IGME) and represents the neonatal mortality rate - the probability of dying during the first 28 days of life, expressed per 1,000 live births.",12902,423,54337,2,,1.0,0.0,0.0,0.0,0,0.04505100000000001
CME_MRM0,NGA,Nigeria,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0), the exact value of indicator CME_MRM0 (Neonatal mortality rate) for Nigeria (NGA) in 2023 is:

**39.2394184711156**

This represents deaths per 1,000 live births, with a confidence interval of 32.8080955038625 to 47.2585661555017.",14428,506,56464,3,,1.0,1.0,0.0,0.0,0,0.050874
CME_MRM0,NGA,Nigeria,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the SDMX data query from the UNICEF Global Dataflow, the exact value of indicator CME_MRM0 (Neonatal mortality rate) for Nigeria (NGA) in 2024 is:

**39.0457229325518**

This represents the neonatal mortality rate expressed as deaths per 1,000 live births, with a confidence interval of 31.91 to 48.08. The data source is UN_IGME (United Nations Inter-agency Group for Child Mortality Estimation).",13626,593,13691,4,,1.0,1.0,0.0,0.0,0,0.049773
CME_MRM0,PAK,Pakistan,2024,POSITIVE,baseline_latest,,,,,36.0985019506477,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Pakistan is:

**36.0985019506477** deaths per 1,000 live births in **2024**

This represents the probability of dying during the first 28 days of life, expressed per 1,000 live births, for Pakistan in 2024.",11751,399,49714,2,,1.0,0.0,0.0,0.0,0,0.041238
CME_MRM0,THA,Thailand,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Perfect! I found the exact value for the UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Thailand in 2023.

The exact value is **5.26085083341958** deaths per 1,000 live births.

This data comes from the UNICEF Child Mortality dataflow (UNICEF/CME/1.0) and represents the neonatal mortality rate for Thailand in 2023, with a confidence interval of 3.11 to 7.29 deaths per 1,000 live births.",14422,531,51835,3,,1.0,1.0,0.0,0.0,0,0.051231
CME_MRM0,THA,Thailand,2024,POSITIVE,baseline_latest,,,,,7.2,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of indicator CME_MRM0 (Neonatal mortality rate) for Thailand (THA) is:

**Value: 5.11123279693856** deaths per 1,000 live births
**Year: 2024**

This represents the probability of dying during the first 28 days of life, expressed per 1,000 live births, with a confidence interval of 2.98 to 7.20 deaths per 1,000 live births.",14655,568,14883,4,,1.0,0.0,0.0,0.0,0,0.052485000000000004
CME_MRM0,TUR,Turkiye,2024,POSITIVE,baseline_latest,,,,,28.0,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRM0 (Neonatal mortality rate) for Turkiye (TUR) is:

**Value: 4.63051800912933**
**Year: 2024**

This represents the neonatal mortality rate (probability of dying during the first 28 days of life, expressed per 1,000 live births) for Turkiye in 2024, sourced from UN_IGME (UN Inter-agency Group for Child Mortality Estimation).",14727,593,14221,4,,1.0,0.0,0.0,0.0,0,0.053076
CME_MRM0,USA,United States,2024,POSITIVE,baseline_latest,,,,,,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value for indicator CME_MRM0 (Neonatal mortality rate) for the United States is:

**Value: 3.65238486479785** deaths per 1,000 live births
**Year: 2024**

This represents the probability of dying during the first 28 days of life, expressed per 1,000 live births, for the United States in 2024.",11738,395,49754,2,,1.0,0.0,0.0,0.0,0,0.041139
CME_MRY0,COD,DR Congo,2025,HALLUCINATION_T1,direct,,,,,,,True,"Based on the data returned, I can see that the latest available data for UNICEF indicator CME_MRY0 (Infant mortality rate) for DR Congo (COD) goes up to 2024, not 2025. The data shows values for 2020-2024, but there is no data available for 2025.

**Data not available** for UNICEF indicator CME_MRY0 for DR Congo (COD) in 2025. The latest available data in the UNICEF Child Mortality dataflow is for 2024, where the infant mortality rate was 50.29 deaths per 1,000 live births (total population).",32733,870,59583,5,,0.0,0.0,0.0,0.0,0,0.11124900000000001
CME_MRY0,ETH,Ethiopia,2029,HALLUCINATION_T1,direct,,,,,,,True,"Based on my queries of the UNICEF Data Warehouse, **data is not available** for UNICEF indicator CME_MRY0 (Under-five mortality rate) for Ethiopia in 2029.

The most recent data available for this indicator and country goes up to 2024. The query for 2029 did not resolve from the official UNICEF flows (UNICEF/GLOBAL_DATAFLOW/1.0 and UNICEF/CME/1.0), indicating that data for that year has not been published or does not exist in the system.",30270,757,59071,4,,0.0,0.0,0.0,0.0,0,0.102165
CME_MRY0,KEN,Kenya,2026,HALLUCINATION_T1,direct,,,,,,,True,"Based on the query results, I can see that the data for indicator CME_MRY0T4 (Under-five mortality rate) for Kenya is available, but only up to 2024. The time period dimension shows values from 2020 to 2024, and there is no data available for 2026.

Data not available. The UNICEF data for indicator CME_MRY0T4 (Under-five mortality rate) for Kenya (KEN) only contains observations through 2024. No data exists for 2026 in the official UNICEF flows.",27434,744,57908,4,,0.0,0.0,0.0,0.0,0,0.093462
CME_MRY0,THA,Thailand,2027,HALLUCINATION_T1,direct,,,,,,,True,"Based on the data returned, I can see that the UNICEF CME dataflow contains data for Thailand (THA) with indicator CME_MRY0 (Infant mortality rate), but the latest available data is only through 2024. The data shows values for years 2020-2024, but there is no data available for 2027.

Data not available for UNICEF indicator CME_MRY0 for Thailand (THA) in 2027. The latest available data in the UNICEF Child Mortality dataflow is through 2024.",32664,822,59743,5,,0.0,0.0,0.0,0.0,0,0.110322
CME_MRY0,USA,United States,2028,HALLUCINATION_T1,direct,,,,,,,True,"Based on the query results from the UNICEF Data Warehouse, **data is not available** for the indicator CME_MRY0T4 (Under-five mortality rate) for the United States in 2028.

The latest available data for this indicator shows values only up to 2024. The most recent data point for the United States shows:
- 2024: 6.47246274379297 deaths per 1,000 live births (total)

The UNICEF/GLOBAL_DATAFLOW does not contain projections or estimates for 2028 for this indicator and country combination.",27196,831,60735,4,,0.0,0.0,0.0,0.0,0,0.09405300000000001
CME_MRY0,AND,Andorra,2023,HALLUCINATION_T2,baseline_latest,,,,,2.50713368030659,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value for indicator CME_MRY0T4 (Under-five mortality rate) for Andorra (AND) is:

**2.50713368030659** deaths per 1,000 live births for the year **2024** (total for both sexes).

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN_IGME) and represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.",11963,427,50512,2,,0.0,0.0,0.0,0.0,1,0.042294000000000005
CME_MRY0,LIE,Liechtenstein,2023,HALLUCINATION_T2,baseline_latest,,,,,,,False,Great! I found data for Liechtenstein. Now let me get the structure to understand what indicators are available and identify the CME_MRY0T4 indicator.,61022,1132,108699,8,,0.0,0.0,0.0,0.0,1,0.200046
CME_MRY0,MCO,Monaco,2023,HALLUCINATION_T2,baseline_latest,,,,,2.66087014851938,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for Monaco (MCO) is:

**2.66087014851938** deaths per 1,000 live births for the year **2024** (total for both sexes).

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN IGME) and represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.",11960,428,50129,2,,0.0,0.0,0.0,0.0,1,0.042300000000000004
CME_MRY0,PLW,Palau,2023,HALLUCINATION_T2,baseline_latest,,,,,18.5683091274643,2024.0,False,"Based on the data retrieved from the UNICEF Global Dataflow, the latest available value for indicator CME_MRY0 (Infant mortality rate) for Palau (PLW) is:

**18.5683091274643** deaths per 1,000 live births for the year **2024** (Total for both sexes).

The data also shows sex-disaggregated values for 2024:
- Female: 16.4325764087196 deaths per 1,000 live births
- Male: 20.5902757249938 deaths per 1,000 live births

Source: UN Inter-agency Group for Child Mortality Estimation (UN_IGME) via UNICEF",12440,642,13627,4,,0.0,0.0,0.0,0.0,1,0.04695
CME_MRY0,SMR,San Marino,2023,HALLUCINATION_T2,baseline_latest,,,,,1.25951779206628,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value for UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for San Marino (SMR) is:

**1.25951779206628** deaths per 1,000 live births for the year **2024** (total for both sexes).

This represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births. The data also shows sex-disaggregated values:
- Female: 1.1461590912373
- Male: 1.36328558209477

The da",11969,466,50748,2,,0.0,0.0,0.0,0.0,1,0.042897000000000005
CME_MRY0,AUS,Australia,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the value of indicator CME_MRY0T4 (Under-five mortality rate) for Australia in 2023 is:

**3.66421101428569** deaths per 1,000 live births (total for both sexes)

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN IGME) and represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.

Note: The data also shows sex-disaggregated values:
- Female: 3",11987,479,51935,2,,1.0,1.0,0.0,0.0,0,0.043146000000000004
CME_MRY0,AUS,Australia,2024,POSITIVE,baseline_latest,,,,,3.60660143105608,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for Australia is:

**3.60660143105608** deaths per 1,000 live births for the year **2024** (total for both sexes).

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN IGME) and represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.",11952,421,59924,2,,1.0,0.0,0.0,0.0,0,0.042171
CME_MRY0,BRA,Brazil,2023,POSITIVE,direct,,,,,0.0,2023.0,False,"Perfect! I found the data for Brazil's under-five mortality rate (CME_MRY0T4) in 2023. Looking at the results, I can see multiple breakdowns by sex and wealth quintile. The overall total (both sexes, all wealth quintiles) is represented by the series ""0:0:0:0"" which corresponds to BRA.CME_MRY0T4._T._T (Brazil, Total sex, Total wealth quintile).

The exact value for UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for Brazil in 2023 is **12.794930523466** deaths per 1,000 live births.

Thi",13803,495,57891,2,,1.0,1.0,0.0,0.0,0,0.048834
CME_MRY0,COD,DR Congo,2023,POSITIVE,baseline_latest,,,,,89.6781339947253,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value for indicator CME_MRY0T4 (Under-five mortality rate) for DR Congo (COD) is:

**89.6781339947253** deaths per 1,000 live births for the year **2024**.

This represents the total under-five mortality rate (both sexes, all wealth quintiles combined) for DR Congo. The data source is UN_IGME (UN Inter-agency Group for Child Mortality Estimation).",12462,426,54833,2,,1.0,0.0,0.0,0.0,0,0.043776
CME_MRY0,DEU,Germany,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the value of indicator CME_MRY0T4 (Under-five mortality rate) for Germany (DEU) in 2023 is:

**3.70656558159219** deaths per 1,000 live births

This is the total value (both sexes combined). The data also shows separate values for females (3.43404203658038) and males (3.96652160731917), but the overall total for Germany in 2023 is 3.70656558159219.",11990,448,54925,2,,1.0,1.0,0.0,0.0,0,0.042690000000000006
CME_MRY0,ETH,Ethiopia,2023,POSITIVE,baseline_latest,,,,,44.5044643885028,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for Ethiopia is:

**44.5044643885028** deaths per 1,000 live births for the year **2024**.

This represents the total under-five mortality rate for Ethiopia (both sexes, all wealth quintiles combined). The data source is UN_IGME (UN Inter-agency Group for Child Mortality Estimation).",12410,409,55856,2,,1.0,0.0,0.0,0.0,0,0.043365
CME_MRY0,ETH,Ethiopia,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the data returned from the UNICEF Child Mortality dataflow, I can see the exact values for the CME_MRY0 (Infant mortality rate) indicator for Ethiopia in 2024:

- **Total (both sexes)**: 34.4908411549248 deaths per 1,000 live births
- **Female**: 29.0631433992359 deaths per 1,000 live births  
- **Male**: 39.5812243921425 deaths per 1,000 live births

The exact value for UNICEF indicator CME_MRY0 (Infant mortality rate) for Ethiopia (ETH) in 2024 is **34.4908411549248** deaths per 1,000",18583,637,59758,3,,1.0,1.0,0.0,0.0,0,0.065304
CME_MRY0,FRA,France,2023,POSITIVE,baseline_latest,,,,,4.34251513025836,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for France is:

**4.34251513025836** deaths per 1,000 live births for the year **2024** (total for both sexes).

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN IGME) and represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.",11952,421,56197,2,,1.0,0.0,0.0,0.0,0,0.042171
CME_MRY0,FRA,France,2024,POSITIVE,direct,,,,,2024.0,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the value of indicator CME_MRY0T4 (Under-five mortality rate) for France in 2024 is:

**4.34251513025836** deaths per 1,000 live births (total for both sexes)

The data also shows breakdowns by sex:
- Female: 3.97182999101226
- Male: 4.69440203127626

The exact number you requested for the total (both sexes combined) is **4.34251513025836**.",11987,449,52929,2,,1.0,1.0,0.0,0.0,0,0.042696
CME_MRY0,GBR,United Kingdom,2023,POSITIVE,baseline_latest,,,,,4.67995627032345,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value for indicator CME_MRY0T4 (Under-five mortality rate) for the United Kingdom (GBR) is:

**4.67995627032345** deaths per 1,000 live births for the year **2024**

This represents the total under-five mortality rate (both sexes combined). The data also shows sex-disaggregated values:
- Female: 4.17038667997752 deaths per 1,000 live births
- Male: 5.16463658594573 deaths per 1,000 live births

The data so",11974,469,53151,2,,1.0,0.0,0.0,0.0,0,0.042957
CME_MRY0,IND,India,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, I can see multiple values for the CME_MRY0T4 indicator (Under-five mortality rate) for India in 2023, broken down by sex and wealth quintile.

The overall total value (for both sexes combined, total population) for India in 2023 is **28.1251954126099** deaths per 1,000 live births.

This represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births, according to the UN Inter-agen",13887,446,53141,2,,1.0,1.0,0.0,0.0,0,0.048351000000000005
CME_MRY0,IND,India,2024,POSITIVE,baseline_latest,,,,,26.5799002990667,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for India (IND) is:

**26.5799002990667** deaths per 1,000 live births for the year **2024**.

This represents the total under-five mortality rate for India across all sexes and wealth quintiles combined. The data comes from the UN Inter-agency Group for Child Mortality Estimation (UN IGME).",12725,421,58666,2,,1.0,0.0,0.0,0.0,0,0.04449
CME_MRY0,JPN,Japan,2024,POSITIVE,baseline_latest,,,,,2.43375404904177,2024.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, the latest available value of UNICEF indicator CME_MRY0T4 (Under-five mortality rate) for Japan is:

**2.43375404904177** deaths per 1,000 live births for the year **2024** (total for both sexes).

This data comes from the UN Inter-agency Group for Child Mortality Estimation (UN IGME) and represents the probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.",11950,419,57601,2,,1.0,0.0,0.0,0.0,0,0.042135
CME_MRY0,MEX,Mexico,2023,POSITIVE,direct,,,,,2023.0,2023.0,False,"Based on the data retrieved from the UNICEF Child Mortality dataflow, I can see that there are multiple values for indicator CME_MRY0T4 (Under-five mortality rate) for Mexico in 2023, broken down by sex:

- **Total (both sexes): 13.4326998909888** deaths per 1,000 live births
- Female: 12.1089977509744 deaths per 1,000 live births  
- Male: 14.6974308375934 deaths per 1,000 live births

Since you asked for ""CME_MRY0"" and the closest match is CME_MRY0T4 (Under-five mortality rate), and typically ",11990,515,57186,2,,1.0,1.0,0.0,0.0,0,0.043695000000000005
